,Name,Address,latitude,longitude,geometry
105,Duck House,1968 SW 5th Ave,45.5093034,-122.6825246,POINT (-122.6825246 45.5093034)
106,West End Bikes,1111 SW Harvey Milk St.,45.5225553,-122.6823199,POINT (-122.6823199 45.5225553)
107,Street, SW 11TH & TAYLOR,45.5190589,-122.683838,POINT (-122.683838 45.5190589)
108,Bee Cleaners,1026 SW SALMON,45.5180872,-122.6839433,POINT (-122.6839433 45.5180872)
109,Nw Film Center,SW 10th & Salmon,45.5180313,-122.6834697,POINT (-122.6834697 45.5180313)
110,Portland Art Museum,SW Park & Jefferson,44.62060515,-121.13515634230478,POINT (-121.13515634230478 44.62060515)
111,Oregon Historical Society,1200 SW Park Ave,45.5157211,-122.6824461,POINT (-122.6824461 45.5157211)
112,Sesame Donut,1503 SW Park Ave,45.5142123,-122.6843061,POINT (-122.6843061 45.5142123)
113,,SW Park & Montgomery St,39.277228,-76.644758,POINT (-76.644758 39.277228)
114,Safeway -  (Mid Block),10TH & SW JEFFERSON,45.5159329,-122.6837513,POINT (-122.6837513 45.5159329)
115,Sizzle Pie (W Burn),926 W BURNSIDE,45.5228592,-122.68086,POINT (-122.68086 45.5228592)
116,Living Room Theaters,341 SW 10th Ave,45.52237215,-122.68140787704084,POINT (-122.68140787704084 45.52237215)
117,Sentinel Hotel,614 SW 11th Ave,45.5206146,-122.68258815567216,POINT (-122.68258815567216 45.5206146)
118,Lardo,1205 SW Washington St,45.5221128,-122.6836868,POINT (-122.6836868 45.5221128)
119,,SW 13th & Washington,47.3080052,-119.5623456,POINT (-119.5623456 47.3080052)
120,Commodore Grocery,621 SW 16TH,26.520003525252527,-80.083725989899,POINT (-80.083725989899 26.520003525252527)
121,Coco Donuts,709 SW 17th Ave,45.521719,-122.68943,POINT (-122.68943 45.521719)
122,Providence Park Max SE Side,SW 18th & Morrison,45.5218601,-122.6904959,POINT (-122.6904959 45.5218601)
123,Hotlips,SW 18th & Morrison,45.5218601,-122.6904959,POINT (-122.6904959 45.5218601)
124,Zupans,2340 W BURNSIDE,45.5232052,-122.6993847,POINT (-122.6993847 45.5232052)
125,Multnomah Athletic,1849 SW SALMON,45.520668650000005,-122.69232535798886,POINT (-122.69232535798886 45.520668650000005)
126,Kgw,1501 SW JEFFERSON,45.51792555,-122.68928100239212,POINT (-122.68928100239212 45.51792555)
127,,18TH & SW JEFFERSON,33.485162,-86.865728,POINT (-86.865728 33.485162)
128,West Side Market,919 SW 14TH,45.519556,-122.6873956,POINT (-122.6873956 45.519556)
129,Martha Washington Apartments,1115 SW 11TH,35.7203355,51.3700255,POINT (51.3700255 35.7203355)
130,Nw,SW 11th & Jefferson,45.5164858,-122.68528272674148,POINT (-122.68528272674148 45.5164858)
